"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","05-Feb-2024","10,655.45","10,602.00","10,759.95","10,400.00","10,429.50","10,428.55","10,547.46","3,65,105","3,85,09,31,249.35","66,523","1,92,693","52.78"
"MARUTI","EQ","06-Feb-2024","10,428.55","10,499.95","10,856.75","10,458.00","10,830.00","10,844.85","10,739.93","8,29,040","8,90,38,33,889.60","1,01,664","4,85,430","58.55"
"MARUTI","EQ","07-Feb-2024","10,844.85","10,860.00","10,973.50","10,786.80","10,920.00","10,935.70","10,881.92","5,60,808","6,10,26,67,386.20","85,035","3,34,359","59.62"
"MARUTI","EQ","08-Feb-2024","10,935.70","10,951.00","10,951.00","10,689.95","10,745.00","10,743.90","10,760.89","5,57,082","5,99,46,96,014.20","83,365","2,45,010","43.98"
"MARUTI","EQ","09-Feb-2024","10,743.90","10,711.25","10,770.00","10,611.10","10,710.00","10,732.85","10,715.08","6,45,489","6,91,64,64,211.60","1,07,179","3,98,713","61.77"
"MARUTI","EQ","12-Feb-2024","10,732.85","10,700.00","10,748.95","10,650.05","10,707.00","10,709.70","10,706.58","1,90,655","2,04,12,63,487.85","39,408","1,01,401","53.19"
"MARUTI","EQ","13-Feb-2024","10,709.70","10,730.00","10,830.00","10,640.15","10,803.35","10,794.50","10,769.31","3,97,979","4,28,59,57,291.65","65,269","2,46,260","61.88"
"MARUTI","EQ","14-Feb-2024","10,794.50","10,705.00","11,050.00","10,703.40","11,040.00","11,027.95","10,907.02","3,54,676","3,86,84,58,664.90","54,121","1,77,113","49.94"
"MARUTI","EQ","15-Feb-2024","11,027.95","11,040.00","11,133.00","10,980.00","11,064.75","11,090.25","11,060.09","4,47,248","4,94,66,03,223.80","69,002","2,54,694","56.95"
"MARUTI","EQ","16-Feb-2024","11,090.25","11,120.00","11,480.00","11,098.00","11,298.65","11,380.40","11,369.57","7,16,486","8,14,61,41,193.75","1,02,807","3,22,698","45.04"
"MARUTI","EQ","19-Feb-2024","11,380.40","11,380.40","11,613.05","11,333.05","11,512.00","11,483.35","11,483.63","5,81,383","6,67,63,86,291.85","69,356","3,45,574","59.44"
"MARUTI","EQ","20-Feb-2024","11,483.35","11,440.00","11,479.95","11,315.85","11,415.00","11,446.45","11,416.42","3,55,044","4,05,33,33,068.60","47,449","2,02,811","57.12"
"MARUTI","EQ","21-Feb-2024","11,446.45","11,456.00","11,521.00","11,370.00","11,450.20","11,465.85","11,444.25","3,48,461","3,98,78,75,374.85","69,878","1,81,847","52.19"
"MARUTI","EQ","22-Feb-2024","11,465.85","11,500.00","11,695.00","11,391.25","11,695.00","11,657.80","11,564.40","5,84,406","6,75,83,03,125.80","1,01,222","3,07,819","52.67"
"MARUTI","EQ","23-Feb-2024","11,657.80","11,704.95","11,720.00","11,475.20","11,520.00","11,535.60","11,579.16","4,72,884","5,47,56,01,069.75","73,897","2,62,090","55.42"
"MARUTI","EQ","26-Feb-2024","11,535.60","11,505.00","11,533.95","11,416.45","11,473.05","11,467.00","11,481.35","2,77,700","3,18,83,69,777.35","45,051","1,63,163","58.76"
"MARUTI","EQ","27-Feb-2024","11,467.00","11,415.00","11,562.90","11,384.25","11,456.15","11,500.65","11,475.98","3,07,585","3,52,98,39,746.10","49,386","1,72,800","56.18"
