"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","25-Jun-2021","7,527.45","7,540.00","7,665.00","7,540.00","7,623.00","7,649.00","7,627.10","12,16,123","9,27,54,93,385.90","1,14,428","7,07,447","58.17"
"MARUTI","EQ","28-Jun-2021","7,649.00","7,698.00","7,698.00","7,571.40","7,596.00","7,596.25","7,608.92","4,33,364","3,29,74,31,604.65","50,498","1,63,967","37.84"
"MARUTI","EQ","29-Jun-2021","7,596.25","7,596.00","7,601.00","7,452.55","7,503.00","7,487.50","7,502.99","4,80,219","3,60,30,78,960.05","52,711","2,05,273","42.75"
"MARUTI","EQ","30-Jun-2021","7,487.50","7,505.50","7,646.60","7,492.60","7,539.90","7,515.90","7,557.97","7,29,267","5,51,17,75,636.30","94,722","3,32,638","45.61"
"MARUTI","EQ","01-Jul-2021","7,515.90","7,500.00","7,605.00","7,495.05","7,584.55","7,584.40","7,563.96","5,84,331","4,41,98,58,255.50","57,959","2,55,187","43.67"
"MARUTI","EQ","02-Jul-2021","7,584.40","7,625.00","7,634.50","7,546.55","7,564.00","7,573.85","7,577.27","4,34,905","3,29,53,93,570.50","48,194","2,38,506","54.84"
"MARUTI","EQ","05-Jul-2021","7,573.85","7,596.30","7,690.00","7,583.00","7,591.95","7,599.45","7,629.31","4,84,183","3,69,39,80,814.45","47,506","1,81,475","37.48"
"MARUTI","EQ","06-Jul-2021","7,599.45","7,600.00","7,657.95","7,487.45","7,508.50","7,514.95","7,567.52","4,25,103","3,21,69,73,391.70","41,040","1,18,295","27.83"
"MARUTI","EQ","07-Jul-2021","7,514.95","7,528.00","7,581.00","7,433.65","7,450.00","7,449.40","7,486.85","3,95,336","2,95,98,23,179.85","44,726","1,81,681","45.96"
"MARUTI","EQ","08-Jul-2021","7,449.40","7,455.00","7,498.00","7,385.00","7,400.00","7,401.20","7,426.17","3,91,940","2,91,06,12,976.25","40,411","1,21,213","30.93"
"MARUTI","EQ","09-Jul-2021","7,401.20","7,381.00","7,447.90","7,343.40","7,423.00","7,425.70","7,401.23","4,00,686","2,96,55,68,184.70","53,081","1,80,958","45.16"
"MARUTI","EQ","12-Jul-2021","7,425.70","7,500.00","7,589.80","7,451.05","7,467.00","7,470.10","7,519.78","4,96,478","3,73,34,07,274.95","55,325","1,09,130","21.98"
"MARUTI","EQ","13-Jul-2021","7,470.10","7,520.00","7,529.20","7,404.00","7,433.10","7,430.35","7,442.70","3,50,032","2,60,51,81,428.50","43,258","1,60,054","45.73"
"MARUTI","EQ","14-Jul-2021","7,430.35","7,436.00","7,449.00","7,310.00","7,325.00","7,326.75","7,343.64","4,60,178","3,37,93,80,585.60","60,474","1,86,672","40.57"
"MARUTI","EQ","15-Jul-2021","7,326.75","7,357.00","7,358.00","7,268.00","7,305.00","7,307.00","7,300.47","4,30,055","3,13,96,05,459.20","52,872","2,06,473","48.01"
"MARUTI","EQ","16-Jul-2021","7,307.00","7,333.00","7,333.00","7,272.80","7,296.95","7,303.55","7,299.47","2,81,552","2,05,51,79,407.70","34,289","1,43,479","50.96"
"MARUTI","EQ","19-Jul-2021","7,303.55","7,251.70","7,297.00","7,151.10","7,179.00","7,165.55","7,205.57","3,86,598","2,78,56,59,741.75","62,117","1,50,598","38.95"
"MARUTI","EQ","20-Jul-2021","7,165.55","7,180.00","7,265.00","7,144.45","7,220.00","7,232.70","7,203.49","4,13,816","2,98,09,18,506.10","52,165","1,42,420","34.42"
"MARUTI","EQ","22-Jul-2021","7,232.70","7,302.00","7,325.00","7,246.30","7,287.00","7,299.55","7,297.27","4,39,934","3,21,03,15,937.20","54,932","2,59,844","59.06"
"MARUTI","EQ","23-Jul-2021","7,299.55","7,300.00","7,375.00","7,277.00","7,283.50","7,293.85","7,334.62","4,36,330","3,20,03,14,442.60","55,896","2,07,353","47.52"
"MARUTI","EQ","26-Jul-2021","7,293.85","7,307.00","7,360.00","7,180.00","7,236.00","7,235.80","7,241.33","4,31,758","3,12,65,00,843.30","60,183","2,07,254","48.00"
"MARUTI","EQ","27-Jul-2021","7,235.80","7,241.30","7,320.00","7,160.85","7,243.30","7,240.25","7,242.97","4,17,171","3,02,15,58,595.95","49,284","1,92,839","46.23"
"MARUTI","EQ","28-Jul-2021","7,240.25","7,280.00","7,312.00","7,063.00","7,145.00","7,165.05","7,195.08","7,39,427","5,32,02,39,329.75","1,00,898","2,55,290","34.53"
"MARUTI","EQ","29-Jul-2021","7,165.05","7,130.00","7,130.00","6,936.00","6,999.00","6,993.50","7,011.57","15,19,226","10,65,21,65,758.75","1,52,249","7,00,971","46.14"
"MARUTI","EQ","30-Jul-2021","6,993.50","7,000.00","7,095.00","6,964.90","6,994.00","6,977.70","7,019.44","7,15,546","5,02,27,34,358.15","81,523","3,42,335","47.84"
"MARUTI","EQ","02-Aug-2021","6,977.70","7,100.00","7,107.45","7,031.00","7,073.00","7,076.95","7,063.48","4,33,760","3,06,38,55,017.85","50,547","1,89,072","43.59"
"MARUTI","EQ","03-Aug-2021","7,076.95","7,124.95","7,221.00","7,086.10","7,193.00","7,199.40","7,142.67","4,70,570","3,36,11,25,626.55","45,616","1,97,209","41.91"
"MARUTI","EQ","04-Aug-2021","7,199.40","7,220.00","7,248.60","7,003.50","7,120.00","7,102.90","7,137.39","4,84,122","3,45,53,67,472.25","71,352","1,54,278","31.87"
"MARUTI","EQ","05-Aug-2021","7,102.90","7,072.00","7,079.95","7,006.00","7,042.55","7,027.55","7,040.06","4,95,133","3,48,57,64,017.70","57,473","2,26,912","45.83"
"MARUTI","EQ","06-Aug-2021","7,027.55","7,054.80","7,168.50","7,042.55","7,108.00","7,100.80","7,117.96","5,17,575","3,68,40,77,538.25","59,187","1,80,669","34.91"
"MARUTI","EQ","09-Aug-2021","7,100.80","7,135.00","7,165.00","7,038.00","7,092.00","7,081.75","7,086.34","2,64,983","1,87,77,58,454.30","28,989","1,12,149","42.32"
"MARUTI","EQ","10-Aug-2021","7,081.75","7,045.20","7,104.90","6,995.00","7,006.00","7,001.95","7,032.13","3,56,726","2,50,85,43,834.10","45,106","1,85,930","52.12"
"MARUTI","EQ","11-Aug-2021","7,001.95","7,002.00","7,095.00","6,925.15","7,023.80","7,021.50","6,993.36","4,14,311","2,89,74,27,386.65","53,559","1,69,439","40.90"
"MARUTI","EQ","12-Aug-2021","7,021.50","7,022.00","7,084.80","6,985.00","7,009.50","7,012.00","7,023.98","3,30,283","2,31,99,00,982.60","44,040","1,41,166","42.74"
"MARUTI","EQ","13-Aug-2021","7,012.00","7,030.00","7,049.90","6,973.85","6,997.55","7,002.20","7,007.10","4,31,784","3,02,55,54,557.50","60,651","2,33,255","54.02"
"MARUTI","EQ","16-Aug-2021","7,002.20","6,982.50","7,018.00","6,810.00","6,820.35","6,826.85","6,879.64","7,50,966","5,16,63,73,334.35","91,331","3,92,733","52.30"
"MARUTI","EQ","17-Aug-2021","6,826.85","6,800.00","6,943.00","6,746.40","6,890.00","6,885.40","6,817.62","7,52,517","5,13,03,77,936.30","91,340","3,10,735","41.29"
"MARUTI","EQ","18-Aug-2021","6,885.40","6,943.75","6,943.75","6,820.00","6,841.60","6,840.10","6,869.05","4,34,144","2,98,21,55,413.00","46,160","1,79,992","41.46"
"MARUTI","EQ","20-Aug-2021","6,840.10","6,815.00","6,914.65","6,780.00","6,839.00","6,850.90","6,857.99","6,57,982","4,51,24,34,046.95","89,530","3,52,694","53.60"
"MARUTI","EQ","23-Aug-2021","6,850.90","6,905.00","6,918.00","6,801.00","6,835.00","6,825.90","6,847.81","5,37,302","3,67,93,41,824.35","45,522","2,92,131","54.37"
"MARUTI","EQ","24-Aug-2021","6,825.90","6,789.50","6,852.00","6,740.60","6,795.00","6,803.20","6,799.56","6,46,993","4,39,92,64,639.15","62,582","2,32,782","35.98"
"MARUTI","EQ","25-Aug-2021","6,803.20","6,838.00","6,838.00","6,700.00","6,714.00","6,711.45","6,753.74","7,22,194","4,87,75,12,734.35","79,601","4,36,133","60.39"
"MARUTI","EQ","26-Aug-2021","6,711.45","6,700.00","6,701.35","6,591.00","6,609.95","6,608.60","6,625.81","11,99,429","7,94,71,87,899.40","93,067","7,96,214","66.38"
"MARUTI","EQ","27-Aug-2021","6,608.60","6,629.75","6,694.60","6,600.00","6,628.40","6,624.85","6,629.08","14,28,388","9,46,88,98,445.60","76,154","9,98,109","69.88"
"MARUTI","EQ","30-Aug-2021","6,624.85","6,690.00","6,810.00","6,653.85","6,802.00","6,796.90","6,752.74","8,19,447","5,53,35,11,851.25","72,020","3,99,510","48.75"
"MARUTI","EQ","31-Aug-2021","6,796.90","6,820.00","6,872.00","6,763.55","6,836.30","6,846.10","6,839.16","9,38,326","6,41,73,61,066.60","68,746","5,83,067","62.14"
"MARUTI","EQ","01-Sep-2021","6,846.10","6,799.95","6,820.00","6,702.35","6,786.00","6,784.90","6,764.87","11,08,476","7,49,87,01,412.95","1,24,234","6,09,996","55.03"
"MARUTI","EQ","02-Sep-2021","6,784.90","6,852.70","6,858.95","6,708.20","6,780.00","6,792.90","6,766.53","7,41,052","5,01,43,50,831.20","76,284","4,07,456","54.98"
"MARUTI","EQ","03-Sep-2021","6,792.90","6,770.00","6,958.00","6,751.60","6,869.00","6,863.10","6,878.17","11,96,077","8,22,68,21,156.80","1,28,742","5,30,274","44.33"
"MARUTI","EQ","06-Sep-2021","6,863.10","6,925.00","6,954.00","6,838.00","6,840.00","6,846.90","6,890.45","8,97,444","6,18,37,96,170.50","91,930","5,45,747","60.81"
"MARUTI","EQ","07-Sep-2021","6,846.90","6,879.90","6,929.90","6,853.70","6,878.00","6,877.15","6,879.83","7,43,783","5,11,71,01,687.70","1,14,167","4,83,960","65.07"
"MARUTI","EQ","08-Sep-2021","6,877.15","6,852.10","6,858.35","6,756.00","6,780.00","6,781.25","6,797.04","8,47,767","5,76,23,08,726.00","1,15,677","4,60,250","54.29"
"MARUTI","EQ","09-Sep-2021","6,781.25","6,750.00","6,818.45","6,740.00","6,800.00","6,802.25","6,784.97","5,15,702","3,49,90,23,753.20","54,757","2,33,568","45.29"
"MARUTI","EQ","13-Sep-2021","6,802.25","6,835.50","6,895.45","6,813.30","6,873.60","6,873.70","6,858.54","5,08,397","3,48,68,60,596.40","60,477","2,90,602","57.16"
"MARUTI","EQ","14-Sep-2021","6,873.70","6,910.00","6,955.00","6,851.10","6,893.00","6,894.45","6,905.55","8,17,280","5,64,37,65,795.45","63,253","4,39,314","53.75"
"MARUTI","EQ","15-Sep-2021","6,894.45","6,938.00","6,938.00","6,880.00","6,913.05","6,909.00","6,904.10","3,10,138","2,14,12,24,022.50","40,109","1,38,313","44.60"
"MARUTI","EQ","16-Sep-2021","6,909.00","6,913.30","6,949.00","6,870.00","6,930.00","6,930.95","6,907.34","5,56,648","3,84,49,54,603.55","61,217","3,56,173","63.99"
"MARUTI","EQ","17-Sep-2021","6,930.95","6,955.00","7,064.75","6,950.00","7,014.90","7,014.45","7,016.13","9,80,793","6,88,13,72,304.65","93,525","4,25,418","43.37"
"MARUTI","EQ","20-Sep-2021","7,014.45","6,979.90","7,015.45","6,906.20","6,942.50","6,950.40","6,961.98","5,50,405","3,83,19,09,518.80","59,177","2,86,725","52.09"
"MARUTI","EQ","21-Sep-2021","6,950.40","6,912.50","6,939.70","6,741.00","6,780.00","6,777.00","6,788.91","10,85,249","7,36,76,55,832.75","1,35,019","6,94,586","64.00"
"MARUTI","EQ","22-Sep-2021","6,777.00","6,820.00","6,846.00","6,785.00","6,821.00","6,831.00","6,815.93","5,48,623","3,73,93,76,181.85","51,499","3,10,469","56.59"
"MARUTI","EQ","23-Sep-2021","6,831.00","6,868.00","6,879.90","6,821.00","6,843.00","6,846.70","6,847.94","4,32,740","2,96,33,79,024.20","44,526","2,36,985","54.76"
