"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","25-Jun-2020","5,755.35","5,677.00","5,846.80","5,651.00","5,756.00","5,762.30","5,778.04","12,66,213","7,31,62,29,888.75","1,01,597","2,33,593","18.45"
"MARUTI","EQ","26-Jun-2020","5,762.30","5,800.00","5,810.00","5,695.00","5,745.00","5,754.90","5,736.35","10,63,059","6,09,80,75,256.70","98,170","1,61,019","15.15"
"MARUTI","EQ","29-Jun-2020","5,754.90","5,730.00","5,800.00","5,650.00","5,701.00","5,678.70","5,702.69","11,02,655","6,28,81,00,845.40","93,831","2,25,779","20.48"
"MARUTI","EQ","30-Jun-2020","5,678.70","5,750.00","5,874.50","5,681.45","5,830.00","5,838.30","5,806.09","20,15,839","11,70,41,48,721.60","1,40,161","4,35,446","21.60"
"MARUTI","EQ","01-Jul-2020","5,838.30","5,838.30","5,885.00","5,775.00","5,795.00","5,803.10","5,815.43","12,84,965","7,47,26,20,274.00","91,004","1,83,034","14.24"
"MARUTI","EQ","02-Jul-2020","5,803.10","5,850.00","5,960.00","5,762.80","5,938.00","5,948.45","5,866.62","14,70,951","8,62,95,17,143.70","1,09,150","2,87,700","19.56"
"MARUTI","EQ","03-Jul-2020","5,948.45","5,948.45","5,988.60","5,883.05","5,916.00","5,932.10","5,935.57","10,59,779","6,29,03,94,582.90","87,711","85,535","8.07"
"MARUTI","EQ","06-Jul-2020","5,932.10","5,963.45","6,147.70","5,925.00","6,135.00","6,123.60","6,045.46","13,85,087","8,37,34,86,835.40","1,05,457","1,83,667","13.26"
"MARUTI","EQ","07-Jul-2020","6,123.60","6,140.00","6,250.00","6,092.65","6,212.85","6,226.75","6,187.36","17,99,721","11,13,55,25,711.75","1,32,528","4,76,086","26.45"
"MARUTI","EQ","08-Jul-2020","6,226.75","6,226.75","6,235.00","6,022.60","6,049.80","6,044.40","6,124.25","12,04,104","7,37,42,33,971.90","1,07,505","2,94,304","24.44"
"MARUTI","EQ","09-Jul-2020","6,044.40","6,080.00","6,096.00","5,931.35","6,020.00","6,002.35","5,994.28","10,43,433","6,25,46,30,547.85","90,297","1,91,108","18.32"
"MARUTI","EQ","10-Jul-2020","6,002.35","5,980.00","6,085.10","5,921.00","5,964.00","5,955.65","5,986.88","11,68,905","6,99,80,94,624.00","1,02,190","1,01,731","8.70"
"MARUTI","EQ","13-Jul-2020","5,955.65","6,000.00","6,059.25","5,927.80","6,006.20","5,988.85","5,988.05","10,35,124","6,19,83,73,071.95","80,418","1,97,689","19.10"
"MARUTI","EQ","14-Jul-2020","5,988.85","5,951.00","5,958.75","5,750.00","5,778.95","5,771.75","5,817.51","16,02,939","9,32,51,07,046.10","1,35,530","5,26,489","32.85"
"MARUTI","EQ","15-Jul-2020","5,771.75","5,810.00","5,879.80","5,755.00","5,809.10","5,801.30","5,817.70","12,46,712","7,25,29,96,208.35","98,323","2,94,213","23.60"
"MARUTI","EQ","16-Jul-2020","5,801.30","5,809.00","5,920.00","5,752.00","5,873.80","5,875.35","5,849.80","10,18,659","5,95,89,54,596.05","86,516","1,76,880","17.36"
"MARUTI","EQ","17-Jul-2020","5,875.35","5,898.00","5,956.00","5,851.00","5,931.50","5,919.50","5,909.33","8,10,164","4,78,75,28,745.90","68,796","1,17,796","14.54"
"MARUTI","EQ","20-Jul-2020","5,919.50","5,935.00","5,936.00","5,812.00","5,875.00","5,867.50","5,864.05","9,12,611","5,35,15,96,920.50","85,254","1,51,710","16.62"
"MARUTI","EQ","21-Jul-2020","5,867.50","5,919.50","6,150.00","5,900.00","6,115.30","6,130.85","6,080.33","18,54,694","11,27,71,49,637.60","1,51,091","3,50,907","18.92"
"MARUTI","EQ","22-Jul-2020","6,130.85","6,117.00","6,129.00","5,939.70","6,013.00","6,003.40","6,034.25","11,40,094","6,87,96,14,116.95","1,02,729","2,54,649","22.34"
"MARUTI","EQ","23-Jul-2020","6,003.40","6,013.00","6,090.00","5,967.95","6,047.35","6,065.95","6,047.91","7,01,702","4,24,38,33,460.10","61,215","78,069","11.13"
"MARUTI","EQ","24-Jul-2020","6,065.95","6,010.00","6,047.35","5,932.10","5,990.50","6,000.70","5,985.18","7,93,324","4,74,81,87,299.55","78,265","1,06,961","13.48"
"MARUTI","EQ","27-Jul-2020","6,000.70","6,008.00","6,062.85","5,928.05","6,056.00","6,043.30","6,001.19","9,02,597","5,41,66,57,162.10","79,430","1,44,621","16.02"
"MARUTI","EQ","28-Jul-2020","6,043.30","6,050.00","6,320.35","6,031.15","6,265.00","6,282.80","6,206.76","17,74,866","11,01,61,75,527.00","1,39,344","3,23,590","18.23"
