"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","27-Jun-2022","8,363.20","8,444.00","8,546.70","8,391.25","8,425.00","8,448.75","8,479.39","9,21,090","7,81,02,84,349.65","84,768","3,47,144","37.69"
"MARUTI","EQ","28-Jun-2022","8,448.75","8,415.25","8,539.90","8,381.05","8,499.00","8,489.70","8,489.90","6,91,242","5,86,85,76,091.05","74,571","2,47,853","35.86"
"MARUTI","EQ","29-Jun-2022","8,489.70","8,389.95","8,530.00","8,370.00","8,492.00","8,508.90","8,480.48","6,55,413","5,55,82,17,482.55","67,908","2,18,140","33.28"
"MARUTI","EQ","30-Jun-2022","8,508.90","8,500.00","8,634.60","8,435.60","8,438.10","8,470.75","8,550.58","11,30,302","9,66,47,40,856.25","1,23,481","5,28,488","46.76"
"MARUTI","EQ","01-Jul-2022","8,470.75","8,440.00","8,450.00","8,305.60","8,399.95","8,402.60","8,369.57","5,30,569","4,44,06,34,460.20","57,093","2,25,342","42.47"
"MARUTI","EQ","04-Jul-2022","8,402.60","8,402.60","8,467.60","8,320.00","8,440.00","8,443.35","8,388.19","6,25,431","5,24,62,33,481.30","67,442","3,20,207","51.20"
"MARUTI","EQ","05-Jul-2022","8,443.35","8,498.50","8,508.55","8,335.00","8,339.35","8,348.70","8,412.49","6,10,290","5,13,40,60,750.70","64,720","2,88,668","47.30"
"MARUTI","EQ","06-Jul-2022","8,348.70","8,377.00","8,652.45","8,370.00","8,629.55","8,630.05","8,547.64","9,76,098","8,34,33,37,876.55","1,38,604","5,05,340","51.77"
"MARUTI","EQ","07-Jul-2022","8,630.05","8,695.00","8,700.00","8,576.20","8,595.00","8,606.40","8,633.95","5,47,662","4,72,84,85,228.20","60,980","2,70,506","49.39"
"MARUTI","EQ","08-Jul-2022","8,606.40","8,620.00","8,656.95","8,445.00","8,463.60","8,475.95","8,500.21","6,86,327","5,83,39,22,976.80","67,516","3,95,317","57.60"
"MARUTI","EQ","11-Jul-2022","8,475.95","8,451.70","8,525.00","8,416.10","8,504.85","8,507.65","8,478.93","5,36,114","4,54,56,74,731.75","47,318","3,08,007","57.45"
"MARUTI","EQ","12-Jul-2022","8,507.65","8,495.00","8,497.45","8,376.25","8,399.00","8,419.70","8,428.97","4,24,358","3,57,69,00,255.60","41,093","2,00,453","47.24"
"MARUTI","EQ","13-Jul-2022","8,419.70","8,454.00","8,488.15","8,381.00","8,454.00","8,440.20","8,439.47","4,13,855","3,49,27,15,003.75","45,637","1,72,740","41.74"
"MARUTI","EQ","14-Jul-2022","8,440.20","8,464.95","8,587.35","8,450.00","8,561.05","8,567.75","8,525.37","6,06,496","5,17,06,02,637.25","62,968","3,14,591","51.87"
"MARUTI","EQ","15-Jul-2022","8,567.75","8,596.00","8,799.00","8,576.20","8,771.15","8,778.05","8,679.67","6,31,246","5,47,90,04,521.85","70,213","2,49,820","39.58"
"MARUTI","EQ","18-Jul-2022","8,778.05","8,802.00","8,843.00","8,684.00","8,719.00","8,704.80","8,772.75","4,78,682","4,19,93,56,314.50","56,063","2,52,205","52.69"
"MARUTI","EQ","19-Jul-2022","8,704.80","8,699.95","8,798.90","8,667.45","8,708.70","8,715.85","8,730.81","4,78,458","4,17,73,24,353.65","42,171","2,27,202","47.49"
"MARUTI","EQ","20-Jul-2022","8,715.85","8,775.50","8,865.45","8,720.20","8,739.95","8,749.05","8,800.39","3,98,132","3,50,37,17,428.85","56,553","1,90,131","47.76"
"MARUTI","EQ","21-Jul-2022","8,749.05","8,793.00","8,831.90","8,722.05","8,820.00","8,797.00","8,773.50","4,21,090","3,69,44,32,051.50","49,409","2,16,829","51.49"
"MARUTI","EQ","22-Jul-2022","8,797.00","8,850.00","8,889.00","8,791.00","8,830.00","8,830.95","8,842.37","4,15,294","3,67,21,82,209.00","62,751","2,02,434","48.74"
"MARUTI","BL","25-Jul-2022","7,162.30","8,830.95","8,830.95","8,830.95","8,830.95","8,830.95","8,830.95","1,63,847","1,44,69,24,664.65","1","-","-"
"MARUTI","EQ","25-Jul-2022","8,830.95","8,828.50","8,858.60","8,490.00","8,610.00","8,621.60","8,649.55","6,23,462","5,39,26,66,180.00","75,752","2,93,410","47.06"
"MARUTI","EQ","26-Jul-2022","8,621.60","8,622.00","8,625.40","8,471.35","8,510.00","8,525.85","8,552.39","4,29,454","3,67,28,58,907.40","59,921","2,10,015","48.90"
"MARUTI","EQ","27-Jul-2022","8,525.85","8,555.55","8,707.45","8,460.00","8,650.00","8,658.10","8,574.49","12,98,855","11,13,70,21,838.00","1,19,869","3,70,204","28.50"
"MARUTI","EQ","28-Jul-2022","8,658.10","8,700.00","8,770.15","8,628.80","8,718.80","8,721.05","8,697.66","7,25,196","6,30,75,06,126.10","77,344","3,30,647","45.59"
"MARUTI","EQ","29-Jul-2022","8,721.05","8,764.70","8,943.00","8,730.00","8,766.00","8,773.55","8,815.93","8,21,432","7,24,16,90,615.05","88,258","3,87,229","47.14"
"MARUTI","EQ","01-Aug-2022","8,773.55","8,850.00","9,085.00","8,822.60","8,994.75","9,003.40","8,986.93","10,09,408","9,07,14,75,240.95","1,19,678","3,62,043","35.87"
"MARUTI","EQ","02-Aug-2022","9,003.40","8,985.00","9,196.85","8,954.00","9,135.05","9,173.05","9,080.90","8,48,311","7,70,34,24,051.20","93,578","3,18,047","37.49"
"MARUTI","EQ","03-Aug-2022","9,173.05","9,144.75","9,144.75","8,855.60","8,954.65","8,959.45","8,963.63","7,53,729","6,75,61,46,244.85","90,744","2,71,178","35.98"
"MARUTI","EQ","04-Aug-2022","8,959.45","9,024.00","9,048.00","8,830.00","8,964.00","8,966.70","8,925.63","6,43,264","5,74,15,38,598.30","86,582","2,42,909","37.76"
"MARUTI","EQ","05-Aug-2022","8,966.70","8,966.80","8,985.20","8,810.00","8,858.00","8,841.20","8,871.72","5,58,385","4,95,38,33,386.95","62,779","2,52,081","45.14"
"MARUTI","BL","08-Aug-2022","8,830.95","8,841.20","8,841.20","8,841.20","8,841.20","8,841.20","8,841.20","1,63,848","1,44,86,12,937.60","1","-","-"
